Vehicle_make,Vehicle_type,Vehicle_year,Engine_type,Engine_displacement,Transmission_type,Number_of_cylinders,Vehicle_weight,Vehicle_length,Vehicle_width,Vehicle_height,Safety_rating,Number_of_airbags,ABS_presence,ESC_presence,TCS_presence,TPMS_presence,Crash_location,Weather_conditions,Road_surface_conditions,Time_of_day,Day_of_week,Driver_age,Driver_gender,Crash_severity
Mahindra,sedan,2008,diesel,2001,automatic,6,1160,4072,1498,1500,2,2,,1.0,1.0,0.0,rural,clear,dry,morning,Monday,75,Male,severe
Honda,sedan,2014,CNG,2959,manual,4,1949,3947,1933,1719,1,5,0.0,1.0,0.0,1.0,nan,clear,nan,night,Saturday,80,Female,severe
Tata Motors,SUV,2015,electric,1694,manual,4,1943,4785,1885,1628,4,1,True,True,True,True,rural,clear,dry,afternoon,Monday,41,Female,severe
Honda,pickup,2020,CNG,1168,manual,6,1013,3800,1470,1602,1,4,1.0,0.0,1.0,1.0,nan,clear,dry,night,Monday,45,Female,severe
Honda,hatchback,2007,CNG,1735,manual,3,2134,4472,1827,1484,3,6,0.0,1.0,1.0,1.0,urban,clear,dry,afternoon,nan,50,Female,severe
Hyundai,pickup,2015,CNG,1567,manual,6,1441,4048,1685,1458,3,2,1.0,,,1.0,urban,clear,dry,evening,Tuesday,60,Male,severe
Tata Motors,pickup,2004,CNG,1472,automatic,6,1405,4494,1715,1608,3,5,1.0,1.0,,1.0,urban,clear,nan,evening,Sunday,22,Male,severe
Tata Motors,SUV,2017,CNG,1510,automatic,4,1888,4503,1876,1415,1,6,1.0,1.0,1.0,1.0,rural,fog,dry,afternoon,Friday,70,Male,severe
Tata Motors,pickup,2019,CNG,1512,automatic,6,1165,4757,1966,1788,2,4,1.0,0.0,1.0,,rural,clear,dry,night,Saturday,55,Male,severe
Honda,pickup,2013,electric,1619,automatic,4,2028,4724,1526,1443,2,7,1.0,1.0,1.0,0.0,urban,rain,dry,evening,Tuesday,76,Male,severe
Mahindra,hatchback,2001,CNG,1344,automatic,6,1698,4924,1950,1445,1,2,,0.0,1.0,1.0,urban,clear,wet,morning,Sunday,18,Female,severe
Tata Motors,pickup,2022,CNG,2920,manual,3,986,4113,1824,1653,1,3,,1.0,1.0,,urban,clear,muddy,night,Wednesday,79,Male,severe
Honda,hatchback,2022,CNG,1303,manual,3,1523,4633,1786,1793,4,4,True,True,True,True,rural,fog,wet,afternoon,Friday,36,Male,severe
Hyundai,SUV,2002,diesel,2513,manual,4,1816,4061,1538,1732,3,2,1.0,1.0,1.0,1.0,urban,clear,dry,evening,Thursday,34,nan,severe
Mahindra,hatchback,2013,petrol,1509,manual,3,1502,4007,1531,1457,2,5,0.0,0.0,1.0,1.0,nan,clear,wet,morning,Tuesday,58,Male,severe
Hyundai,sedan,2006,petrol,1187,automatic,3,2084,4390,1635,1469,2,1,0.0,1.0,1.0,0.0,urban,clear,dry,night,Tuesday,19,Female,severe
Mahindra,sedan,2014,petrol,1039,automatic,3,1633,4338,1560,1628,4,6,True,True,True,True,urban,clear,nan,afternoon,Thursday,68,Male,severe
